PCA9655E,U,,PCA9655EDWR2G
Pin,Name,Side,
1,~INT,left,
2,AD1,left,
3,AD2,left,
4,IO0_0,right,
5,IO0_1,right,
6,IO0_2,right,
7,IO0_3,right,
8,IO0_4,right,
9,IO0_5,right,
10,IO0_6,right,
11,IO0_7,right,
12,VSS,left,
13,IO1_0,right,
14,IO1_1,right,
15,IO1_2,right,
16,IO1_3,right,
17,IO1_4,right,
18,IO1_5,right,
19,IO1_6,right,
20,IO1_7,right,
21,AD0,left,
22,SCL,left,
23,SDA,left,
24,VDD,left,
,,,
STM32L083,U,,STM32L083xx_LQFP48
Pin,Name,Side,
1,VLCD,Left,
2,PC13,Left,
3,PC14,Left,
4,PC15,Left,
5,PH0,Left,
6,PH1,Left,
7,~RST,Left,
8,VSSA,Left,
9,VDDA,Left,
10,PA0,Left,
11,PA1,Left,
12,PA2,Left,
13,PA3,Bottom,
14,PA4,Bottom,
15,PA5,Bottom,
16,PA6,Bottom,
17,PA7,Bottom,
18,PB0,Bottom,
19,PB1,Bottom,
20,PB2,Bottom,
21,PB10,Bottom,
22,PB11,Bottom,
23,VSS,Bottom,
24,VDD,Bottom,
25,PB12,Right,
26,PB13,Right,
27,PB14,Right,
28,PB15,Right,
29,PA8,Right,
30,PA9,Right,
31,PA10,Right,
32,PA11,Right,
33,PA12,Right,
34,PA13,Right,
35,VSS,Right,
36,VDD_USB,Right,
37,PA14,Top,
38,PA15,Top,
39,PB3,Top,
40,PB4,Top,
41,PB5,Top,
42,PB6,Top,
43,PB7,Top,
44,BOOT0,Top,
45,PB8,Top,
46,PB9,Top,
47,VSS,Top,
48,VDD,Top,
,,,
PCA9685,U,,PCA9685_TSSOP28
Pin,Name,Side,
1,A0,left,
2,A1,left,
3,A2,left,
4,A3,left,
5,A4,left,
6,LED0,Right,
7,LED1,Right,
8,LED2,Right,
9,LED3,Right,
10,LED4,Right,
11,LED5,Right,
12,LED6,Right,
13,LED7,Right,
14,VSS,left,
15,LED8,Right,
16,LED9,Right,
17,LED10,Right,
18,LED11,Right,
19,LED12,Right,
20,LED13,Right,
21,LED14,Right,
22,LED15,Right,
23,~OE,left,
24,A5,left,
25,EXTCLK,left,
26,SCL,left,
27,SDA,left,
28,VDD,left,
